area,major_axis_length,minor_axis_length,eccentricity,equiv_diameter,solidity,extent,perimeter,aspect_ratio,compactness,roundness,category
1159,66.74485492,22.72966654,0.940228002,38.41464086,0.956270627,0.766534392,144.132,2.936464325,0.5755446,0.701087904,Whole Rice
1087,65.32821388,21.56572901,0.943941227,37.20230349,0.966222222,0.526392252,140.643,3.029260631,0.569467636,0.690562777,Whole Rice
1085,62.64757328,22.35551496,0.934163354,37.16806298,0.962732919,0.656382335,137.119,2.802331925,0.593288152,0.725177511,Whole Rice
1154,64.57198848,23.19619374,0.93324907,38.33168969,0.957676349,0.558837772,141.66,2.783732072,0.593627215,0.72263867,Whole Rice
1098,64.98767316,22.08646106,0.940477427,37.39006579,0.960629921,0.556795132,142.644,2.942421286,0.575340891,0.678117866,Whole Rice
1160,65.5426866,22.99051705,0.93646102,38.43120961,0.967472894,0.517857143,142.529,2.850857441,0.586353895,0.717565214,Whole Rice
1167,65.85390556,22.92534602,0.937448376,38.54699144,0.959703947,0.514550265,143.439,2.872537038,0.585341008,0.712764765,Whole Rice
1101,64.43381098,22.08453416,0.939427529,37.44111028,0.970044053,0.84562212,139.707,2.917598828,0.581078625,0.708860618,Whole Rice
1105,65.86784883,21.78012167,0.943748572,37.50906153,0.955882353,0.685483871,143.454,3.02421859,0.569459337,0.674756097,Whole Rice
1105,66.47672796,21.5753141,0.945867034,37.50906153,0.955882353,0.724590164,144.347,3.081147632,0.564243498,0.666433189,Whole Rice
1080,65.57079247,21.30800022,0.945727156,37.08232339,0.96687556,0.64516129,141.61,3.077285141,0.565531115,0.676777285,Whole Rice
1083,66.84760284,21.02286403,0.949260977,37.1337909,0.968694097,0.793406593,142.999,3.179757179,0.555499215,0.665537176,Whole Rice
1137,66.58628651,22.27298793,0.942396416,38.04830302,0.957070707,0.457729469,145.252,2.989553387,0.5714135,0.677214248,Whole Rice
1081,64.48111538,21.88614628,0.940635115,37.09948716,0.954104148,0.521718147,139.601,2.946206909,0.575354302,0.697041281,Whole Rice
1173,66.19906432,22.89215249,0.938305371,38.64595692,0.966227348,0.503001715,144.556,2.891779808,0.583784036,0.705400286,Whole Rice
1106,65.97696747,21.75952888,0.944049104,37.52603012,0.955920484,0.584875727,142.52,3.032095402,0.568774704,0.684247727,Whole Rice
1138,66.79218487,21.96417659,0.944384427,38.06503122,0.962774958,0.525392428,143.604,3.04096011,0.569902471,0.693456226,Whole Rice
1143,66.97153325,22.08496629,0.944062537,38.14856222,0.977758768,0.850446429,144.314,3.032448969,0.569623546,0.689666555,Whole Rice
1094,64.16622927,21.9734161,0.93953781,37.32189789,0.966431095,0.767180926,140.518,2.920175406,0.581643932,0.696246887,Whole Rice
1152,67.04017254,22.23376235,0.943403082,38.29845892,0.96969697,0.831168831,143.71,3.015241931,0.571276258,0.700952137,Whole Rice
1080,65.7279387,21.4138756,0.945440217,37.08232339,0.961709706,0.512091038,142.495,3.069408822,0.56417901,0.668396809,Whole Rice
1080,64.65610896,21.64943986,0.942275063,37.08232339,0.971223022,0.48,140.157,2.986502624,0.573531627,0.690882247,Whole Rice
1141,65.13601414,22.71889802,0.93720029,38.11517179,0.965313029,0.541014699,141.015,2.867041089,0.58516279,0.721049176,Whole Rice
1112,63.96473797,22.60729726,0.935459558,37.62768095,0.95862069,0.792587313,142.577,2.829384567,0.588256626,0.68740978,Whole Rice
1081,64.92387023,21.46683669,0.943754752,37.09948716,0.972122302,0.555213148,139.386,3.024379938,0.571430616,0.699193283,Whole Rice
1131,64.90255093,22.57968765,0.937531132,37.94777892,0.962553191,0.673214286,142.238,2.874377712,0.584688558,0.702491696,Whole Rice
1179,66.62488967,22.92146586,0.938955879,38.74466961,0.967186218,0.813664596,143.652,2.906659202,0.581534466,0.71796011,Whole Rice
