area,major_axis_length,minor_axis_length,eccentricity,equiv_diameter,solidity,extent,perimeter,aspect_ratio,compactness,roundness,category
1140,70.63143143,21.06521018,0.954490505,38.0984656,0.957983193,0.574596774,149.69,3.352989637,0.539398181,0.639335969,Whole Rice
1164,70.58545465,21.41422301,0.952869618,38.49741329,0.96039604,0.499356499,150.84,3.296194992,0.545401506,0.642879825,Whole Rice
1084,70.20795745,20.05230839,0.958345026,37.1509309,0.964412811,0.647164179,148.689,3.501240659,0.529155558,0.616142924,Whole Rice
1310,72.60204662,23.36552728,0.946797421,40.84046772,0.958302853,0.592492085,157.009,3.107229114,0.56252502,0.667777935,Whole Rice
1114,68.1284085,21.36518927,0.949554597,37.66150359,0.962834918,0.485191638,145.498,3.188757546,0.552801752,0.66127333,Whole Rice
1194,68.8846395,22.43785022,0.945462549,38.99035799,0.957497995,0.574314574,149.64,3.07001958,0.566023983,0.670067867,Whole Rice
1180,69.55649994,22.09154506,0.948222854,38.76109729,0.953920776,0.789297659,147.473,3.148557502,0.557260606,0.681815455,Whole Rice
1160,77.17977568,19.51505922,0.967504974,38.43120961,0.950819672,0.544600939,160.813,3.954882986,0.497944044,0.56367081,Whole Rice
1166,67.87513978,22.2141594,0.944927489,38.53047248,0.97736798,0.841269841,145.976,3.055489904,0.567666934,0.687615244,Whole Rice
1166,67.31193143,22.41437176,0.942929457,38.53047248,0.967634855,0.648498331,146.274,3.00307018,0.572416682,0.684816379,Whole Rice
1300,76.08275793,22.41337189,0.955623123,40.68428945,0.955882353,0.447658402,161.493,3.394525299,0.534737312,0.626391436,Whole Rice
1087,69.40620043,20.36151106,0.955999799,37.20230349,0.958553792,0.433413078,149.056,3.408695957,0.536008357,0.614809378,Whole Rice
1107,69.97450514,20.52615375,0.956008917,37.54299104,0.965126417,0.608241758,148.168,3.409041264,0.536523852,0.633648845,Whole Rice
1096,73.74343032,19.115679,0.96581864,37.35599739,0.962247586,0.455717256,153.47,3.857745797,0.506567124,0.584754311,Whole Rice
1138,71.50938721,20.63595977,0.957456711,38.06503122,0.958719461,0.514932127,151.187,3.465280414,0.532308172,0.625638156,Whole Rice
1183,73.0723353,21.08902093,0.957448336,38.81033859,0.972062449,0.857246377,152.104,3.464946787,0.531122188,0.642559484,Whole Rice
1129,67.13464508,21.86167073,0.945494117,37.91421166,0.964133219,0.468853821,146.268,3.070883552,0.564748821,0.6631399,Whole Rice
