area,major_axis_length,minor_axis_length,eccentricity,equiv_diameter,solidity,extent,perimeter,aspect_ratio,compactness,roundness,category
1310,75.31833258,22.53818824,0.954178168,40.84046772,0.963235294,0.528438887,160.069,3.341809545,0.542238076,0.642490479,Whole Rice
1164,71.22433401,21.19073851,0.954715259,38.49741329,0.96039604,0.648829431,152.088,3.36110674,0.540509277,0.632372458,Whole Rice
1226,71.54415376,22.27463898,0.950298211,39.50938726,0.975338107,0.444847605,151.894,3.211910812,0.552237817,0.667757994,Whole Rice
1216,72.16494149,21.84547297,0.953080848,39.34792607,0.965845909,0.446074835,155.002,3.303427745,0.545249885,0.636017163,Whole Rice
1181,69.17279738,22.33943875,0.946415614,38.777518,0.962510187,0.462774295,149.089,3.096442938,0.560589126,0.667680293,Whole Rice
1147,69.52068737,21.63411187,0.950347863,38.21525556,0.955833333,0.653561254,149.433,3.213475449,0.54969617,0.645476226,Whole Rice
1262,71.348715,23.12430289,0.946021942,40.08526295,0.962623951,0.806905371,154.288,3.085442849,0.561821792,0.666200448,Whole Rice
1164,68.95426633,21.89299897,0.948258178,38.49741329,0.963576159,0.734848485,148.35,3.149603507,0.558303573,0.664641941,Whole Rice
1195,68.68106855,22.48378409,0.94489793,39.0066822,0.965266559,0.766025641,147.961,3.054693475,0.567939361,0.685935458,Whole Rice
1150,73.84594275,20.54668594,0.960512404,38.26519929,0.936482085,0.472861842,157.208,3.594056141,0.518176055,0.584734097,Whole Rice
1098,68.99786967,20.61941026,0.954302835,37.39006579,0.950649351,0.63986014,148.879,3.346258152,0.541901742,0.622508546,Whole Rice
1177,73.4157593,20.79076364,0.959063204,38.71179335,0.956910569,0.576960784,154.842,3.53117185,0.527295416,0.616891495,Whole Rice
1153,70.1883199,21.48984568,0.951975536,38.31507791,0.961634696,0.465294592,149.998,3.266115586,0.545889657,0.643973853,Whole Rice
1167,69.24136388,21.86035396,0.948854947,38.54699144,0.966859983,0.588205645,149.516,3.167440198,0.556704682,0.656002328,Whole Rice
1148,67.90294479,21.78642392,0.947131198,38.23191072,0.972057578,0.468954248,146.145,3.11675496,0.563037595,0.675435416,Whole Rice
1190,74.17733413,21.06214785,0.958841109,38.92499272,0.95659164,0.427442529,156.533,3.521831423,0.524755886,0.610302302,Whole Rice
1193,70.55707888,22.14000653,0.949492874,38.97402695,0.957463884,0.48495935,150.038,3.186858991,0.552375858,0.665959433,Whole Rice
1209,72.15153125,22.00068523,0.952376901,39.23450789,0.953470032,0.483406637,154.752,3.279512911,0.543779282,0.634400657,Whole Rice
1255,73.82154575,22.09212619,0.954170372,39.97393687,0.960949464,0.430975275,156.773,3.341531962,0.541494173,0.64166899,Whole Rice
1138,67.07558414,22.10198686,0.944152548,38.06503122,0.962774958,0.483843537,145.06,3.034821465,0.567494592,0.679605336,Whole Rice
1211,72.75304872,21.81213817,0.953998731,39.26694652,0.952044025,0.531606673,155.016,3.335438651,0.539729224,0.633287557,Whole Rice
1129,69.37295098,21.01950948,0.952992823,37.91421166,0.967437875,0.446245059,148.328,3.300407702,0.546527301,0.644848248,Whole Rice
1251,73.8347758,21.94160342,0.954824068,39.91018254,0.957886677,0.541089965,157.894,3.365058351,0.540533673,0.630573796,Whole Rice
1280,74.36134748,22.4432711,0.953366933,40.37012035,0.954511559,0.61302682,161.086,3.313302555,0.542891189,0.619875168,Whole Rice
1084,68.28068922,20.51159755,0.953812953,37.1509309,0.960992908,0.537698413,145.274,3.328882065,0.544091328,0.645451117,Whole Rice
1120,75.02423195,19.40529163,0.965970128,37.76278976,0.958083832,0.384219554,156.12,3.866173896,0.503341238,0.577445234,Whole Rice
1172,69.84930726,21.88125042,0.94966619,38.62948028,0.966199505,0.492643968,149.467,3.192199071,0.553040278,0.659244993,Whole Rice
1133,68.34311062,21.4493676,0.949473148,37.98131651,0.97588286,0.475052411,145.847,3.186252942,0.555744627,0.669336908,Whole Rice
1119,68.6065591,21.10413125,0.951512208,37.7459276,0.966321244,0.49469496,145.688,3.250859193,0.550179576,0.662509924,Whole Rice
1191,70.18859296,22.07966735,0.949232193,38.94134432,0.962035541,0.492352212,149.542,3.178879096,0.554810158,0.669260596,Whole Rice
1229,71.92831449,22.24360929,0.95098178,39.55769711,0.957165109,0.450843727,155.349,3.233662017,0.549960018,0.639948202,Whole Rice
1117,68.3333046,21.32075907,0.950078411,37.71218068,0.954700855,0.474914966,147.375,3.205012748,0.551885803,0.64627209,Whole Rice
1136,70.66687918,21.01605434,0.954754188,38.03156745,0.956228956,0.759358289,149.458,3.362518864,0.53818094,0.639072107,Whole Rice
1101,67.95606679,21.00125803,0.95104849,37.44111028,0.965789474,0.758264463,144.984,3.235809335,0.550960526,0.658198712,Whole Rice
1084,70.20795745,20.05230839,0.958345026,37.1509309,0.964412811,0.647164179,148.689,3.501240659,0.529155558,0.616142924,Whole Rice
1103,68.13197503,21.06179479,0.95101904,37.47510131,0.954152249,0.628490028,146.787,3.234860832,0.550036914,0.643295017,Whole Rice
1094,68.99831445,20.68719985,0.95399522,37.32189789,0.952961672,0.633101852,147.655,3.335314347,0.540910284,0.630566465,Whole Rice
1184,74.98105926,20.62589673,0.961420932,38.82673848,0.951004016,0.472089314,157.679,3.635287243,0.517820618,0.598430683,Whole Rice
1155,69.78147094,21.40637742,0.951785914,38.34829428,0.980475382,0.875,148.118,3.259844932,0.54954838,0.661570558,Whole Rice
1149,68.98698908,21.5882551,0.949775444,38.24855863,0.962311558,0.619073276,147.523,3.195579669,0.554431482,0.663453396,Whole Rice
1141,68.20876203,21.71830574,0.947953323,38.11517179,0.965313029,0.479814971,146.375,3.140611559,0.558801694,0.669208876,Whole Rice
1092,68.8189827,20.51999455,0.9545117,37.2877672,0.962114537,0.462711864,145.548,3.353752485,0.541823865,0.647768788,Whole Rice
1132,69.07430572,21.67705298,0.949481756,37.96455142,0.946488294,0.455716586,148.584,3.186517364,0.549619008,0.644335707,Whole Rice
1090,69.91169086,20.18756669,0.95740209,37.25360525,0.965456156,0.496357013,146.523,3.463106373,0.532866603,0.638005992,Whole Rice
1207,70.11479,22.31449265,0.948004618,39.20204243,0.966373098,0.47575877,149.857,3.142118941,0.559112313,0.675403125,Whole Rice
1262,73.56056748,22.42890754,0.952383107,40.08526295,0.957511381,0.545847751,157.431,3.279721375,0.54492868,0.639865524,Whole Rice
1243,74.0244169,21.7930324,0.955681275,39.78236738,0.969578783,0.43522409,156.392,3.39670109,0.537422232,0.638633837,Whole Rice
1160,69.58693551,21.75237809,0.949887211,38.43120961,0.965861782,0.798898072,148.11,3.199049558,0.552276219,0.66450628,Whole Rice
1187,71.86852749,21.46391294,0.954361065,38.87589664,0.959579628,0.601926978,154.536,3.348342294,0.540930752,0.624598949,Whole Rice
1206,68.83337506,22.74897955,0.943808286,39.18579961,0.959427208,0.490243902,149.286,3.025778581,0.569284879,0.680015808,Whole Rice
1226,71.13002424,22.26620769,0.949741495,39.50938726,0.971473851,0.480407524,152.801,3.194528015,0.555453027,0.659854133,Whole Rice
1124,68.25956936,21.54092148,0.948901086,37.83016321,0.958226769,0.533206831,147.242,3.168832374,0.5542104,0.651497509,Whole Rice
1080,69.76518141,20.07921789,0.957687094,37.08232339,0.969479354,0.433560819,146.36,3.474496954,0.531530523,0.633561558,Whole Rice
1238,74.96495015,21.53881941,0.957835091,39.70227394,0.969459671,0.416835017,157.882,3.480457714,0.529611156,0.624115934,Whole Rice
1252,71.26116624,22.66890366,0.948053744,39.92613067,0.963076923,0.474242424,153.389,3.14356474,0.56027894,0.668691435,Whole Rice
1215,72.65356801,21.82174135,0.953828011,39.3317435,0.957446809,0.482142857,153.685,3.329412023,0.541360109,0.646432494,Whole Rice
1160,69.51073699,21.61482172,0.950424115,38.43120961,0.970711297,0.446153846,149.536,3.215882966,0.552881631,0.651893025,Whole Rice
1251,71.50090063,22.58704915,0.948792888,39.91018254,0.972027972,0.472789116,152.406,3.165570685,0.55817734,0.676804198,Whole Rice
1161,69.70862323,21.46928859,0.951390849,38.44777122,0.972361809,0.460714286,150.627,3.246899539,0.551549714,0.643037693,Whole Rice
1095,68.15817277,20.98059485,0.951443917,37.33895153,0.956331878,0.543964232,145.34,3.248629186,0.547827942,0.651408875,Whole Rice
1317,75.34536696,22.88199083,0.95276939,40.9494381,0.952277657,0.46048951,161.931,3.292780227,0.543489796,0.631154442,Whole Rice
1245,71.68314534,22.4698203,0.949601306,39.81435964,0.968118196,0.466641679,153.124,3.190196645,0.555421493,0.667256302,Whole Rice
1297,72.82878516,23.34883588,0.947215012,40.63731893,0.960740741,0.452389257,157.64,3.119161295,0.557984303,0.655868824,Whole Rice
1183,67.84202217,22.57769277,0.942998121,38.81033859,0.956345998,0.684606481,147.275,3.004825288,0.572069307,0.685388078,Whole Rice
1179,68.5445815,22.39599755,0.945115571,38.74466961,0.961663948,0.503846154,147.127,3.060572825,0.565247738,0.684445559,Whole Rice
