area,major_axis_length,minor_axis_length,eccentricity,equiv_diameter,solidity,extent,perimeter,aspect_ratio,compactness,roundness,category
393,28.81214061,17.71952457,0.788525535,22.36924543,0.967980296,0.693121693,71.926,1.626010929,0.776382627,0.95462015,Small Broke C1
375,28.49191207,17.51072558,0.788849955,21.85096861,0.961538462,0.555555556,74.028,1.62711202,0.766918295,0.859902277,Small Broke C1
438,29.85609273,19.5720392,0.75515533,23.61522646,0.948051948,0.647928994,80.419,1.525446195,0.790968419,0.851072657,Small Broke C1
440,28.90855627,19.95415344,0.723570221,23.66908109,0.975609756,0.654761905,76.062,1.448748821,0.818756941,0.955712044,Small Broke C1
446,27.89969503,20.99528872,0.658560787,23.82991475,0.969565217,0.660740741,75.607,1.328855031,0.854128145,0.980439298,Small Broke C1
403,28.31152589,18.45337461,0.758393269,22.65205369,0.961813842,0.757518797,72.372,1.534219431,0.800100065,0.966882636,Small Broke C1
268,24.96123382,13.99611688,0.828009449,18.47236309,0.946996466,0.697916667,60.662,1.783439938,0.740042068,0.915189879,Small Broke C1
410,27.66774211,19.65707373,0.703728475,22.84793674,0.964705882,0.660225443,73.804,1.4075209,0.825796939,0.945875378,Small Broke C1
442,25.69403948,22.29752244,0.496897662,23.72281347,0.965065502,0.768695652,74.241,1.152327105,0.923280806,1.007730742,Small Broke C1
292,23.65948987,17.35317763,0.679737714,19.28175166,0.924050633,0.634782609,64.797,1.363409651,0.814969036,0.873942616,Small Broke C1
400,23.50225116,22.13817647,0.335725604,22.56758334,0.963855422,0.790513834,70.933,1.061616398,0.960230711,0.999017738,Small Broke C1
211,17.50678866,15.57907642,0.456179601,16.39065416,0.97235023,0.694078947,49.845,1.123737261,0.936245618,1.067208114,Small Broke C1
325,23.0822472,18.02751679,0.624515761,20.34214473,0.990853659,0.773809524,61.696,1.280389722,0.881289614,1.072949321,Small Broke C1
373,28.2772085,17.06146964,0.797465378,21.79262146,0.979002625,0.863425926,69.957,1.657372378,0.770677963,0.95775922,Small Broke C1
436,28.74121673,19.52891034,0.733699559,23.56124873,0.96460177,0.778571429,74.415,1.471726595,0.819772139,0.989407917,Small Broke C1
338,26.47687386,16.38281059,0.785580672,20.74499858,0.974063401,0.795294118,65.88,1.616137458,0.783513896,0.978631934,Small Broke C1
253,19.32236894,16.78442673,0.495421635,17.94796938,0.980620155,0.832236842,53.814,1.151208156,0.928870028,1.097841987,Small Broke C1
309,22.17039266,17.82495374,0.594631855,19.83509565,0.968652038,0.77443609,60.306,1.243784022,0.894665961,1.067695216,Small Broke C1
285,21.34181855,17.15475441,0.594886918,19.0492328,0.969387755,0.798319328,58.677,1.244076018,0.892577769,1.040204962,Small Broke C1
365,24.56756864,19.10258298,0.628817595,21.55765372,0.978552279,0.695238095,66.708,1.286086215,0.877484216,1.030734679,Small Broke C1
394,26.60329591,19.26366267,0.689686469,22.39768695,0.96097561,0.656666667,70.926,1.381009228,0.841913988,0.984226718,Small Broke C1
439,30.36318213,18.58147662,0.790877917,23.64216911,0.986516854,0.840996169,75.308,1.634056472,0.77864596,0.972729656,Small Broke C1
315,25.19224464,16.41355625,0.75862106,20.02674353,0.940298507,0.729166667,64.135,1.534843775,0.794956695,0.962343727,Small Broke C1
323,22.30479493,18.58604072,0.552857869,20.27945692,0.972891566,0.732426304,61.911,1.200083184,0.909197192,1.058953155,Small Broke C1
363,24.73280922,19.13154675,0.633760829,21.49851052,0.970588235,0.631304348,68.42,1.292776248,0.869230435,0.974429334,Small Broke C1
282,22.65970079,16.06962178,0.70503567,18.94870844,0.975778547,0.721227621,58.917,1.410095465,0.83622942,1.020887115,Small Broke C1
320,24.67116714,16.69206465,0.736367408,20.18506018,0.984615385,0.695652174,63.127,1.478017709,0.818163975,1.00908916,Small Broke C1
341,24.30525549,18.10235109,0.667297095,20.8368588,0.971509972,0.789351852,64.59,1.342657391,0.857298489,1.027149535,Small Broke C1
210,18.69278256,15.69604477,0.543074113,16.35176762,0.9375,0.650154799,53.384,1.190923117,0.8747637,0.925991361,Small Broke C1
352,24.87590987,18.28616054,0.677963959,21.17026971,0.946236559,0.67047619,68.105,1.360368121,0.85103499,0.953662121,Small Broke C1
290,20.89998326,17.76544647,0.526747118,19.2156048,0.966666667,0.763157895,58.247,1.17644008,0.919407665,1.074139625,Small Broke C1
272,22.24685532,15.71600449,0.707775805,18.60970597,0.99270073,0.761904762,57.106,1.415554146,0.836509506,1.048130324,Small Broke C1
142,14.43361481,12.65963714,0.480318741,13.44618962,0.965986395,0.728205128,40.094,1.140128635,0.931588503,1.110042064,Small Broke C1
345,23.34080828,19.57088351,0.544926927,20.95871282,0.953038674,0.625,67.758,1.192629258,0.897942889,0.944295243,Small Broke C1
441,27.2797434,21.06115732,0.635569303,23.69596251,0.967105263,0.742424242,74.903,1.295263265,0.868628497,0.987756802,Small Broke C1
400,26.52852023,19.835924,0.664013357,22.56758334,0.980392157,0.842105263,71.371,1.337397755,0.850691375,0.986793526,Small Broke C1
288,22.14355826,17.26937484,0.625925872,19.14922946,0.953642384,0.721804511,60.769,1.282244347,0.864776529,0.980027297,Small Broke C1
325,24.79827388,16.98337718,0.728673486,20.34214473,0.990853659,0.672877847,63.698,1.460149746,0.820304866,1.006564552,Small Broke C1
220,17.31599353,16.51385274,0.300834678,16.73656774,0.977777778,0.808823529,50.448,1.048573813,0.966538115,1.08628714,Small Broke C1
286,20.75949722,18.24726333,0.476851492,19.08262324,0.966216216,0.756613757,60,1.137677297,0.919223767,0.998328332,Small Broke C1
329,25.27490456,17.71442976,0.713288744,20.46694433,0.953623188,0.685416667,68.32,1.426797527,0.809773358,0.885747727,Small Broke C1
419,26.86012395,20.45180813,0.648260087,23.0973455,0.967667436,0.767399267,72.918,1.313337373,0.859912097,0.990271751,Small Broke C1
223,23.17839538,12.90411674,0.830693259,16.85029431,0.965367965,0.5575,55.866,1.796201619,0.72698278,0.897882636,Small Broke C1
381,27.29871832,18.08023465,0.749229249,22.02508267,0.962121212,0.732692308,69.941,1.509865267,0.806817463,0.978748625,Small Broke C1
194,18.3436913,13.7993869,0.658856305,15.71650316,0.941747573,0.76984127,49.414,1.32931205,0.856779746,0.998416092,Small Broke C1
348,27.56853019,16.2077909,0.80892697,21.04964041,0.98028169,0.696,66.956,1.700943106,0.763538726,0.97546144,Small Broke C1
412,28.95512425,18.75436503,0.761891624,22.90359562,0.990384615,0.847736626,74.15,1.543913868,0.791003189,0.94163972,Small Broke C1
438,27.7255472,20.37406341,0.678231812,23.61522646,0.969026549,0.811111111,74.2,1.360825607,0.851749698,0.999714898,Small Broke C1
370,26.12351286,18.97714647,0.68723063,21.70480665,0.948717949,0.677655678,70.148,1.376577501,0.830853292,0.944889453,Small Broke C1
340,24.07943607,18.1740438,0.656008256,20.80628379,0.963172805,0.703933747,64.64,1.324935515,0.864068566,1.022553608,Small Broke C1
441,27.86701271,20.79802531,0.665574572,23.69596251,0.964989059,0.742424242,75.647,1.339887431,0.850323024,0.968422864,Small Broke C1
429,27.12693948,20.89961061,0.637515573,23.37134495,0.981693364,0.785714286,74.299,1.297963871,0.861554801,0.976565144,Small Broke C1
262,21.11115679,15.91463014,0.657047394,18.26441241,0.97037037,0.779761905,55.708,1.326525129,0.865154505,1.06090384,Small Broke C1
207,17.63084923,15.15542906,0.510972222,16.23454914,0.958333333,0.761029412,49.894,1.163335539,0.920803583,1.044921257,Small Broke C1
270,22.09397572,16.89498902,0.644401189,18.5411617,0.915254237,0.645933014,61.257,1.307723592,0.83919535,0.904195165,Small Broke C1
229,19.6073625,14.95828583,0.646526796,17.07547527,0.978632479,0.763333333,51.515,1.31080277,0.870870586,1.084371109,Small Broke C1
155,15.43759629,12.88981817,0.550306434,14.04820734,0.987261146,0.794871795,41.558,1.197658189,0.909999658,1.127800505,Small Broke C1
330,25.9732497,16.50955692,0.771988136,20.49802551,0.976331361,0.683229814,66.683,1.573225122,0.789197568,0.93259599,Small Broke C1
155,15.76723554,12.90108745,0.574903433,14.04820734,0.950920245,0.688888889,43.278,1.222163295,0.890974661,1.039937399,Small Broke C1
329,21.53142893,19.81173105,0.391611159,20.46694433,0.970501475,0.8225,62.696,1.086802,0.950561358,1.051782873,Small Broke C1
294,25.12578814,15.16727545,0.797246629,19.34767237,0.967105263,0.784,62.051,1.656578878,0.770032457,0.959532358,Small Broke C1
